frame,time,flip_kinetic_energy,apic_kinetic_energy,polypic_kinetic_energy
0,0.016667,0.81934595,0.83330113,0.80742717
1,0.033333,3.28655267,3.44654274,3.17474818
2,0.050000,7.39947414,8.43473530,7.07067060
3,0.066667,13.23029137,15.22064590,12.42160511
4,0.083333,20.75743484,22.46050262,19.05379677
5,0.100000,28.96387291,29.91819000,26.74083138
6,0.116667,34.17071152,35.20296860,32.98673630
7,0.133333,34.28975677,36.23403931,34.16289902
8,0.150000,35.12729645,36.62768555,34.63638687
9,0.166667,34.66760254,36.74943542,34.82146835
10,0.183333,34.03450394,36.79103851,34.86706924
11,0.200000,34.73546600,36.78498459,34.85312271
12,0.216667,34.63975906,36.79454803,34.78618622
13,0.233333,33.37415695,36.78665543,34.71110153
14,0.250000,33.82432556,36.77007675,34.64725113
15,0.266667,33.27789688,36.80831909,34.59094238
16,0.283333,33.42121506,37.01733780,34.55388260
17,0.300000,34.25362396,37.02236557,34.52940369
18,0.316667,33.48352051,37.07164001,34.70075607
19,0.333333,34.06344986,37.08362961,34.54491425
20,0.350000,33.07179642,36.93022156,34.50289917
21,0.366667,33.33524323,36.44705200,34.19511414
22,0.383333,33.50535583,36.17636871,33.65596390
23,0.400000,32.01226044,36.12828445,33.05793381
24,0.416667,32.01552200,35.85951614,33.01586151
25,0.433333,32.82207870,35.83866882,32.89577103
26,0.450000,31.25944901,35.65122986,32.75097656
27,0.466667,31.24778175,35.15445709,32.57635117
28,0.483333,30.94679260,34.88084412,32.26884460
29,0.500000,31.18847084,34.19601440,32.04992676
30,0.516667,30.19720268,33.78607941,31.86082649
31,0.533333,30.29310036,33.14487076,31.56439018
32,0.550000,29.40495300,32.70954514,31.35058403
33,0.566667,28.91653252,32.09598923,31.05105209
34,0.583333,28.93581390,31.56654358,30.73249626
35,0.600000,27.86635590,30.63663673,30.24403381
36,0.616667,27.83936501,29.83520508,29.84624100
37,0.633333,26.65600586,29.12652016,29.47656441
38,0.650000,26.20816994,28.50930786,29.13245010
39,0.666667,25.77301407,27.19693756,28.58545494
40,0.683333,25.20258141,25.34160614,27.69399643
41,0.700000,24.45993996,23.40892792,26.49003029
42,0.716667,23.66123962,21.56237602,25.08267975
43,0.733333,22.83070374,20.01305199,23.62315750
44,0.750000,21.58619881,18.34909248,22.31512451
45,0.766667,20.60811996,16.92977333,21.16832352
46,0.783333,19.57235146,15.59791183,19.97739792
47,0.800000,18.60782814,14.25045586,18.82390976
48,0.816667,17.72870255,12.89294624,17.61312866
49,0.833333,16.69542122,11.52669334,16.33453178
50,0.850000,15.65335655,10.10296345,14.92318726
51,0.866667,14.62747383,8.96238232,13.43628407
52,0.883333,13.76046658,7.47556591,11.92922211
53,0.900000,12.49543381,6.28317308,10.39176846
54,0.916667,11.58716297,5.21787119,8.92193222
55,0.933333,10.43755913,4.30483007,7.52167749
56,0.950000,9.49489689,3.59959388,6.28716660
57,0.966667,8.64551067,3.02019930,5.18673563
58,0.983333,7.83772516,2.73226452,4.28612804
59,1.000000,7.09800434,2.47041345,3.61195016
60,1.016667,6.49361134,2.49769044,3.17408204
61,1.033333,6.09933329,2.63403773,2.95805669
62,1.050000,5.61543036,2.94562721,2.97464776
63,1.066667,5.41267300,3.37707138,3.22897339
64,1.083333,5.28628969,3.88753319,3.64218807
65,1.100000,5.31123018,4.40750933,4.12424088
66,1.116667,5.17556572,4.90795946,4.54474401
67,1.133333,5.17881632,5.34134340,4.84030962
68,1.150000,5.23781919,5.69255495,5.23244238
69,1.166667,5.31735802,5.95437431,5.63818693
70,1.183333,5.38256073,6.08975983,6.02202511
71,1.200000,5.46008539,6.12912464,6.42089224
72,1.216667,5.51917791,6.37703848,6.79510880
73,1.233333,5.56691980,6.00508451,7.13624191
74,1.250000,5.57948780,5.90189648,7.46570492
75,1.266667,5.56396341,5.81863165,7.74518251
76,1.283333,5.50078678,5.75959539,7.98269606
77,1.300000,5.46214628,5.75193548,8.22929192
78,1.316667,5.31857443,5.79164124,8.44788742
79,1.333333,5.22063637,5.88447332,8.68816566
80,1.350000,5.10323668,6.02259350,8.92449856
81,1.366667,5.01246071,6.19544554,9.20450878
82,1.383333,4.93058109,6.40291882,9.52010059
83,1.400000,4.85286093,6.62008905,9.86597443
84,1.416667,4.81266022,6.83554983,10.26537323
85,1.433333,4.76929092,7.05185223,10.70275211
86,1.450000,4.75149775,7.25853634,11.17414188
87,1.466667,4.73757315,7.44048357,11.68664455
88,1.483333,4.70625973,7.58203793,12.21285152
89,1.500000,4.70204687,7.68035030,12.74211311
90,1.516667,4.68843079,7.68264389,13.21491528
91,1.533333,4.66959906,7.52212667,13.56432152
92,1.550000,4.62906551,7.05500174,13.74535847
93,1.566667,4.64175749,6.13211489,13.58160496
94,1.583333,4.61988640,5.09541082,11.87068939
95,1.600000,4.58728361,4.19663668,10.03313541
96,1.616667,4.52226353,3.49188709,8.82729530
97,1.633333,4.41464472,2.91363573,7.95527172
98,1.650000,4.21073723,2.41073203,7.17696524
99,1.666667,3.91521239,1.96406507,6.24047041
100,1.683333,3.57798982,1.58477283,5.28947496
101,1.700000,3.21880698,1.27952564,4.42595625
102,1.716667,2.91009188,1.04364157,3.66480017
103,1.733333,2.59022498,0.87214208,3.03126431
104,1.750000,2.29707837,0.76986718,2.53349376
105,1.766667,2.02782106,0.72796452,2.17318678
106,1.783333,1.77102077,0.73780352,1.95966101
107,1.800000,1.55051482,0.78904426,1.88792622
108,1.816667,1.36996102,0.87466717,1.93015826
109,1.833333,1.22404480,0.97098213,2.05567884
110,1.850000,1.12175691,1.06752062,2.22639298
111,1.866667,1.06263602,1.15542030,2.39294314
112,1.883333,1.05855203,1.23421061,2.53614426
113,1.900000,1.09284043,1.28960657,2.64584136
114,1.916667,1.14563179,1.32843816,2.72474670
115,1.933333,1.22420657,1.35087955,2.76037979
116,1.950000,1.24713552,1.36654627,2.79115510
117,1.966667,1.30607510,1.38390136,2.80626392
118,1.983333,1.35440707,1.40202153,2.82010269
119,2.000000,1.60759926,1.42761207,2.82452536
120,2.016667,1.42662323,1.45695472,2.84179401
121,2.033333,1.44318807,1.49239063,2.86041427
122,2.050000,1.45460141,1.53414130,2.88158512
123,2.066667,1.48192179,1.57968998,2.86950517
124,2.083333,1.45817709,1.62331593,2.90187955
125,2.100000,1.43487227,1.66293514,2.87509155
126,2.116667,1.41497302,1.68861973,2.89954615
127,2.133333,1.37025630,1.69951689,2.95217299
128,2.150000,1.32857883,1.69084036,3.04242587
129,2.166667,1.28631628,1.66697633,3.11512256
130,2.183333,1.23573458,1.63201213,3.16937757
131,2.200000,1.18137336,1.59255838,3.19842100
132,2.216667,1.12901342,1.55217397,3.22550774
133,2.233333,1.08537531,1.51212406,3.24797320
134,2.250000,1.03230667,1.47408056,3.23298025
135,2.266667,0.99558622,1.44083774,3.21403003
136,2.283333,0.99553442,1.41448998,3.19132543
137,2.300000,0.97602832,1.39557219,3.15513563
138,2.316667,0.97654897,1.38830578,3.11892295
139,2.333333,0.99662948,1.39027381,3.09318972
140,2.350000,1.03539324,1.40494120,3.05756330
141,2.366667,1.07896173,1.43202746,3.02913547
142,2.383333,1.13044286,1.47388124,3.00528789
143,2.400000,1.18423378,1.50901115,2.97411156
144,2.416667,1.24285221,1.53187120,2.96690941
145,2.433333,1.29480636,1.55074286,2.98796320
146,2.450000,1.33551753,1.53253818,3.02738333
147,2.466667,1.36657155,1.48042881,3.04256248
148,2.483333,1.46651685,1.38505948,3.04735112
149,2.500000,1.46470726,1.24152708,3.02169299
150,2.516667,1.43423641,1.05274165,2.82216668
151,2.533333,1.37850249,0.83136117,2.27017808
152,2.550000,1.30502415,0.60729229,1.88132846
153,2.566667,1.21879101,0.40473801,1.55524075
154,2.583333,1.12237811,0.24260163,1.27190292
155,2.600000,1.00915134,0.13420673,1.02505732
156,2.616667,0.87696630,0.08652920,0.82010829
157,2.633333,0.74226284,0.09449782,0.65769315
158,2.650000,0.61184043,0.15080588,0.53941500
159,2.666667,0.50380558,0.24257687,0.46389383
160,2.683333,0.42112997,0.35939446,0.42971796
161,2.700000,0.37064376,0.48346737,0.43359229
162,2.716667,0.34675229,0.60096961,0.46601725
163,2.733333,0.35042968,0.69720876,0.51944524
164,2.750000,0.37878749,0.76845700,0.58035171
165,2.766667,0.42531893,0.80844843,0.63329780
166,2.783333,0.48661318,0.81700164,0.67325771
167,2.800000,0.55420232,0.80104363,0.68960464
168,2.816667,0.62048405,0.76798636,0.69018191
169,2.833333,0.68072921,0.72364342,0.67193115
170,2.850000,0.72753936,0.67470765,0.64484853
171,2.866667,0.76190090,0.62704158,0.60187030
172,2.883333,0.77548832,0.58012319,0.55886006
173,2.900000,0.76845711,0.53923893,0.52000123
174,2.916667,0.75488555,0.50757915,0.48693544
175,2.933333,0.74183518,0.48707479,0.45961523
176,2.950000,0.74021250,0.47740644,0.44136530
177,2.966667,0.70310539,0.47545403,0.43501553
178,2.983333,0.69437736,0.48113531,0.44191745
179,3.000000,0.69387180,0.49298403,0.45831364
180,3.016667,0.67086339,0.50699568,0.47871292
181,3.033333,0.66166651,0.52181911,0.49906176
182,3.050000,0.65785414,0.53664643,0.52083921
183,3.066667,0.66172481,0.54938006,0.54910409
184,3.083333,0.65058923,0.55874777,0.57774246
185,3.100000,0.63469791,0.56324822,0.60676563
186,3.116667,0.62815189,0.56503767,0.63872284
187,3.133333,0.61215347,0.56295902,0.67231160
188,3.150000,0.59514594,0.55645216,0.70945317
189,3.166667,0.57533556,0.54693830,0.74929243
190,3.183333,0.57066369,0.53542399,0.78703463
191,3.200000,0.53772646,0.52094847,0.82626164
192,3.216667,0.52302420,0.50373077,0.86416245
193,3.233333,0.50739539,0.48631456,0.90407002
194,3.250000,0.49691427,0.46685410,0.94153500
195,3.266667,0.48600975,0.44535640,0.97358787
196,3.283333,0.48138785,0.41881570,0.99913031
197,3.300000,0.58521318,0.38520139,1.02162087
198,3.316667,0.47802445,0.34964275,1.03729069
199,3.333333,0.48103747,0.31233743,1.04388607
200,3.350000,0.48855555,0.27074951,1.04734349
201,3.366667,0.49598154,0.23049411,1.04643595
202,3.383333,0.50360906,0.19400197,1.03780150
203,3.400000,0.51291186,0.16212133,1.02032840
204,3.416667,0.51845002,0.13292933,0.98971337
205,3.433333,0.52251291,0.10802565,0.95567483
206,3.450000,0.52426696,0.08989494,0.90785992
207,3.466667,0.51940382,0.07764696,0.84700984
208,3.483333,0.51074469,0.07232464,0.77895927
209,3.500000,0.49143055,0.07290810,0.70486820
210,3.516667,0.46237361,0.07922058,0.62182188
211,3.533333,0.42736095,0.08876894,0.53366703
212,3.550000,0.38604245,0.09771650,0.44967476
213,3.566667,0.34372824,0.10661399,0.36881515
214,3.583333,0.30274484,0.11762468,0.29539010
215,3.600000,0.26388508,0.13137707,0.23742993
216,3.616667,0.23588318,0.14915811,0.18922621
217,3.633333,0.21489333,0.16907495,0.16071394
218,3.650000,0.20491886,0.18976036,0.15294296
219,3.666667,0.20567018,0.21158275,0.16346689
220,3.683333,0.21785580,0.23204689,0.18856160
221,3.700000,0.23798516,0.24959998,0.22750767
222,3.716667,0.26381901,0.25926754,0.27498600
223,3.733333,0.29253986,0.26455802,0.32920837
224,3.750000,0.32419655,0.26740244,0.38224486
225,3.766667,0.35239726,0.26905027,0.43199602
226,3.783333,0.37574437,0.26045233,0.47230393
227,3.800000,0.39731863,0.25054285,0.50005394
228,3.816667,0.41069466,0.24118872,0.51709896
229,3.833333,0.41736731,0.23228450,0.52294731
230,3.850000,0.41964456,0.22477698,0.51933306
231,3.866667,0.41863251,0.21461953,0.50540006
232,3.883333,0.41573513,0.20231161,0.48718739
233,3.900000,0.40546507,0.19198151,0.46042895
234,3.916667,0.39522809,0.18404232,0.43065730
235,3.933333,0.38750955,0.17719907,0.40658525
236,3.950000,0.37065431,0.17271532,0.38774633
237,3.966667,0.35765710,0.16874851,0.37322718
238,3.983333,0.34791365,0.16514975,0.36311311
239,4.000000,0.34027514,0.16188681,0.35795885
240,4.016667,0.33151492,0.15999959,0.35622784
241,4.033333,0.32601577,0.15697576,0.35352448
242,4.050000,0.32309273,0.15317348,0.35475022
243,4.066667,0.31977800,0.14929046,0.36174318
244,4.083333,0.31966555,0.14437179,0.37071043
245,4.100000,0.31881887,0.13990659,0.38393477
246,4.116667,0.31792873,0.13562612,0.40208456
247,4.133333,0.31896403,0.13041732,0.42411467
248,4.150000,0.32033050,0.12434836,0.44696614
249,4.166667,0.31987187,0.11669056,0.47148362
250,4.183333,0.31915295,0.10857604,0.49352965
251,4.200000,0.31875536,0.10040721,0.51070195
252,4.216667,0.31711179,0.09268517,0.52427673
253,4.233333,0.31415603,0.08045599,0.53772068
254,4.250000,0.31060869,0.06861661,0.55163872
255,4.266667,0.30847239,0.05812768,0.55924672
256,4.283333,0.30561364,0.04880058,0.56039697
257,4.300000,0.30192733,0.04041353,0.55962658
258,4.316667,0.29907283,0.03263907,0.55907434
259,4.333333,0.29651350,0.02575628,0.55286574
260,4.350000,0.29196444,0.02054574,0.54139185
261,4.366667,0.28522468,0.01782758,0.52594906
262,4.383333,0.27949181,0.01687205,0.49735814
263,4.400000,0.27230793,0.01663246,0.46536461
264,4.416667,0.26444325,0.01575792,0.43671027
265,4.433333,0.25795743,0.01502818,0.40337053
266,4.450000,0.24887666,0.01546329,0.36291963
267,4.466667,0.24028499,0.01624336,0.32224229
268,4.483333,0.23101969,0.01779222,0.28465620
269,4.500000,0.22296685,0.01976901,0.25027782
270,4.516667,0.21358965,0.02194995,0.21495032
271,4.533333,0.20660514,0.02459443,0.18493809
272,4.550000,0.19870846,0.02782450,0.16122478
273,4.566667,0.19315758,0.03139706,0.13804686
274,4.583333,0.18785821,0.03522392,0.11641650
275,4.600000,0.18421277,0.03894060,0.10167877
276,4.616667,0.18153311,0.04241081,0.09441327
277,4.633333,0.18090349,0.04533692,0.09392758
278,4.650000,0.18006760,0.04751747,0.09993804
279,4.666667,0.18260555,0.04944633,0.11093162
280,4.683333,0.18540618,0.05002363,0.12464980
281,4.700000,0.19067115,0.04910632,0.14021286
282,4.716667,0.19426665,0.04714119,0.15556782
283,4.733333,0.20083135,0.04501589,0.17099057
284,4.750000,0.20665954,0.04315271,0.18676277
285,4.766667,0.21290775,0.04116108,0.20256580
286,4.783333,0.21843246,0.03911977,0.21770811
287,4.800000,0.22296193,0.03675634,0.23083828
288,4.816667,0.22581802,0.03350661,0.24342547
289,4.833333,0.22613552,0.03010437,0.25530413
290,4.850000,0.22494888,0.02705329,0.26661623
291,4.866667,0.22389388,0.02499753,0.27265602
292,4.883333,0.22154105,0.02339765,0.27415848
293,4.900000,0.22098324,0.02179706,0.26823828
294,4.916667,0.21690993,0.02084122,0.25935200
295,4.933333,0.21451531,0.02059391,0.24904299
296,4.950000,0.21288694,0.02024116,0.24031620
297,4.966667,0.21103464,0.01986200,0.22995627
298,4.983333,0.21121401,0.01869078,0.21904050
299,5.000000,0.21050686,0.01778594,0.21173687
